p=3 k=4 m=1: {'total': 5832, 'EXCL': 5832, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=4 m=2: {'total': 5832, 'EXCL': 5832, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=4 m=3: {'total': 5832, 'EXCL': 5832, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=4 m=4: {'total': 5832, 'EXCL': 5832, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=4 m=5: {'total': 5832, 'EXCL': 5832, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=4 m=6: {'total': 5832, 'EXCL': 5832, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=4 m=7: {'total': 5832, 'EXCL': 5832, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=4 m=8: {'total': 5832, 'EXCL': 5832, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.0s]
p=3 k=5 m=0: {'total': 59049, 'EXCL': 52488, 'PASS': 6561, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.1s]
p=3 k=5 m=1: {'total': 52488, 'EXCL': 52488, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.1s]
p=3 k=5 m=2: {'total': 52488, 'EXCL': 52488, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.1s]
p=3 k=5 m=3: {'total': 52488, 'EXCL': 52488, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.1s]
p=3 k=5 m=4: {'total': 52488, 'EXCL': 52488, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.1s]
p=3 k=5 m=5: {'total': 52488, 'EXCL': 52488, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.2s]
p=3 k=5 m=6: {'total': 52488, 'EXCL': 52488, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.2s]
p=3 k=5 m=7: {'total': 52488, 'EXCL': 52488, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.2s]
p=3 k=5 m=8: {'total': 52488, 'EXCL': 52488, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.2s]
p=3 k=6 m=0: {'total': 531441, 'EXCL': 472392, 'PASS': 59049, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.4s]
p=3 k=6 m=1: {'total': 472392, 'EXCL': 472392, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.6s]
p=3 k=6 m=2: {'total': 472392, 'EXCL': 472392, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [0.8s]
p=3 k=6 m=3: {'total': 472392, 'EXCL': 472392, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [1.1s]
p=3 k=6 m=4: {'total': 472392, 'EXCL': 472392, 'PASS': 0, 'UND': 0, 'PASS_not_target': 0, 'UND_not_target': 0, 'EXCL_target': 0, 'PASS_cell_not_sq': 0} decidable=True [1.3s]
