{'k': '6/31', 'status': 'excluded', 'triples_tried': 1}
{'k': '7/36', 'status': 'excluded', 'triples_tried': 1}
{'k': '8/41', 'status': 'excluded', 'triples_tried': 2}
{'k': '9/46', 'status': 'excluded', 'triples_tried': 1}
{'k': '9/44', 'status': 'excluded', 'triples_tried': 20}
{'k': '8/39', 'status': 'excluded', 'triples_tried': 1}
{'k': '7/34', 'status': 'unresolved', 'triples_tried': 56}
{'k': '6/29', 'status': 'excluded', 'triples_tried': 2}
{'k': '9/43', 'status': 'excluded', 'triples_tried': 7}
{'k': '7/33', 'status': 'excluded', 'triples_tried': 10}
{'k': '10/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '8/37', 'status': 'excluded', 'triples_tried': 2}
{'k': '7/32', 'status': 'excluded', 'triples_tried': 2}
{'k': '9/41', 'status': 'excluded', 'triples_tried': 2}
{'k': '9/40', 'status': 'excluded', 'triples_tried': 1}
{'k': '7/31', 'status': 'excluded', 'triples_tried': 20}
{'k': '8/35', 'status': 'excluded', 'triples_tried': 1}
{'k': '11/48', 'status': 'excluded', 'triples_tried': 7}
{'k': '10/43', 'status': 'excluded', 'triples_tried': 10}
{'k': '7/30', 'status': 'excluded', 'triples_tried': 1}
{'k': '11/47', 'status': 'excluded', 'triples_tried': 1}
{'k': '9/38', 'status': 'excluded', 'triples_tried': 2}
{'k': '11/46', 'status': 'unresolved', 'triples_tried': 56}
{'k': '6/25', 'status': 'excluded', 'triples_tried': 1}
{'k': '7/29', 'status': 'excluded', 'triples_tried': 2}
{'k': '8/33', 'status': 'excluded', 'triples_tried': 1}
{'k': '9/37', 'status': 'excluded', 'triples_tried': 10}
{'k': '10/41', 'status': 'unresolved', 'triples_tried': 56}
{'k': '11/45', 'status': 'excluded', 'triples_tried': 20}
{'k': '12/47', 'status': 'excluded', 'triples_tried': 1}
{'k': '11/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '10/39', 'status': 'excluded', 'triples_tried': 1}
{'k': '9/35', 'status': 'excluded', 'triples_tried': 2}
{'k': '8/31', 'status': 'excluded', 'triples_tried': 1}
{'k': '7/27', 'status': 'excluded', 'triples_tried': 2}
{'k': '11/42', 'status': 'excluded', 'triples_tried': 1}
{'k': '9/34', 'status': 'excluded', 'triples_tried': 7}
{'k': '11/41', 'status': 'excluded', 'triples_tried': 10}
{'k': '7/26', 'status': 'excluded', 'triples_tried': 2}
{'k': '10/37', 'status': 'excluded', 'triples_tried': 1}
{'k': '13/48', 'status': 'excluded', 'triples_tried': 1}
{'k': '11/40', 'status': 'excluded', 'triples_tried': 1}
{'k': '8/29', 'status': 'excluded', 'triples_tried': 1}
{'k': '13/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '12/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '7/25', 'status': 'excluded', 'triples_tried': 1}
{'k': '9/32', 'status': 'excluded', 'triples_tried': 1}
{'k': '11/39', 'status': 'excluded', 'triples_tried': 7}
{'k': '13/46', 'status': 'excluded', 'triples_tried': 1}
{'k': '13/45', 'status': 'excluded', 'triples_tried': 1}
{'k': '11/38', 'status': 'excluded', 'triples_tried': 1}
{'k': '9/31', 'status': 'excluded', 'triples_tried': 10}
{'k': '12/41', 'status': 'excluded', 'triples_tried': 10}
{'k': '13/44', 'status': 'excluded', 'triples_tried': 20}
{'k': '8/27', 'status': 'excluded', 'triples_tried': 1}
{'k': '11/37', 'status': 'excluded', 'triples_tried': 7}
{'k': '14/47', 'status': 'excluded', 'triples_tried': 7}
{'k': '13/43', 'status': 'excluded', 'triples_tried': 2}
{'k': '10/33', 'status': 'excluded', 'triples_tried': 7}
{'k': '11/36', 'status': 'excluded', 'triples_tried': 1}
{'k': '13/42', 'status': 'excluded', 'triples_tried': 2}
{'k': '9/29', 'status': 'excluded', 'triples_tried': 1}
{'k': '14/45', 'status': 'excluded', 'triples_tried': 2}
{'k': '11/35', 'status': 'excluded', 'triples_tried': 2}
{'k': '13/41', 'status': 'excluded', 'triples_tried': 7}
{'k': '15/47', 'status': 'excluded', 'triples_tried': 7}
{'k': '8/25', 'status': 'excluded', 'triples_tried': 1}
{'k': '9/28', 'status': 'excluded', 'triples_tried': 2}
{'k': '10/31', 'status': 'excluded', 'triples_tried': 7}
{'k': '11/34', 'status': 'excluded', 'triples_tried': 2}
{'k': '12/37', 'status': 'excluded', 'triples_tried': 1}
{'k': '13/40', 'status': 'unresolved', 'triples_tried': 56}
{'k': '14/43', 'status': 'excluded', 'triples_tried': 7}
{'k': '15/46', 'status': 'unresolved', 'triples_tried': 56}
{'k': '16/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '15/44', 'status': 'excluded', 'triples_tried': 2}
{'k': '14/41', 'status': 'excluded', 'triples_tried': 2}
{'k': '13/38', 'status': 'unresolved', 'triples_tried': 56}
{'k': '12/35', 'status': 'excluded', 'triples_tried': 1}
{'k': '11/32', 'status': 'excluded', 'triples_tried': 2}
{'k': '10/29', 'status': 'excluded', 'triples_tried': 10}
{'k': '9/26', 'status': 'excluded', 'triples_tried': 1}
{'k': '15/43', 'status': 'excluded', 'triples_tried': 7}
{'k': '13/37', 'status': 'excluded', 'triples_tried': 7}
{'k': '17/48', 'status': 'excluded', 'triples_tried': 1}
{'k': '11/31', 'status': 'excluded', 'triples_tried': 7}
{'k': '16/45', 'status': 'excluded', 'triples_tried': 1}
{'k': '14/39', 'status': 'excluded', 'triples_tried': 20}
{'k': '9/25', 'status': 'excluded', 'triples_tried': 2}
{'k': '13/36', 'status': 'excluded', 'triples_tried': 2}
{'k': '17/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '15/41', 'status': 'excluded', 'triples_tried': 1}
{'k': '11/30', 'status': 'unresolved', 'triples_tried': 56}
{'k': '17/46', 'status': 'excluded', 'triples_tried': 7}
{'k': '10/27', 'status': 'excluded', 'triples_tried': 1}
{'k': '13/35', 'status': 'excluded', 'triples_tried': 10}
{'k': '16/43', 'status': 'excluded', 'triples_tried': 10}
{'k': '17/45', 'status': 'excluded', 'triples_tried': 1}
{'k': '14/37', 'status': 'excluded', 'triples_tried': 7}
{'k': '11/29', 'status': 'excluded', 'triples_tried': 7}
{'k': '13/34', 'status': 'excluded', 'triples_tried': 1}
{'k': '18/47', 'status': 'excluded', 'triples_tried': 2}
{'k': '17/44', 'status': 'excluded', 'triples_tried': 1}
{'k': '12/31', 'status': 'excluded', 'triples_tried': 10}
{'k': '16/41', 'status': 'excluded', 'triples_tried': 1}
{'k': '11/28', 'status': 'excluded', 'triples_tried': 7}
{'k': '13/33', 'status': 'excluded', 'triples_tried': 7}
{'k': '15/38', 'status': 'excluded', 'triples_tried': 20}
{'k': '17/43', 'status': 'unresolved', 'triples_tried': 56}
{'k': '19/48', 'status': 'excluded', 'triples_tried': 7}
{'k': '19/47', 'status': 'excluded', 'triples_tried': 7}
{'k': '17/42', 'status': 'excluded', 'triples_tried': 2}
{'k': '15/37', 'status': 'excluded', 'triples_tried': 2}
{'k': '13/32', 'status': 'excluded', 'triples_tried': 1}
{'k': '11/27', 'status': 'excluded', 'triples_tried': 1}
{'k': '16/39', 'status': 'excluded', 'triples_tried': 2}
{'k': '19/46', 'status': 'excluded', 'triples_tried': 1}
{'k': '12/29', 'status': 'unresolved', 'triples_tried': 56}
{'k': '17/41', 'status': 'excluded', 'triples_tried': 10}
{'k': '18/43', 'status': 'excluded', 'triples_tried': 1}
{'k': '13/31', 'status': 'unresolved', 'triples_tried': 56}
{'k': '19/45', 'status': 'excluded', 'triples_tried': 1}
{'k': '11/26', 'status': 'excluded', 'triples_tried': 7}
{'k': '14/33', 'status': 'excluded', 'triples_tried': 20}
{'k': '17/40', 'status': 'excluded', 'triples_tried': 1}
{'k': '20/47', 'status': 'excluded', 'triples_tried': 20}
{'k': '19/44', 'status': 'excluded', 'triples_tried': 20}
{'k': '16/37', 'status': 'excluded', 'triples_tried': 1}
{'k': '13/30', 'status': 'excluded', 'triples_tried': 1}
{'k': '17/39', 'status': 'excluded', 'triples_tried': 2}
{'k': '18/41', 'status': 'excluded', 'triples_tried': 1}
{'k': '11/25', 'status': 'excluded', 'triples_tried': 10}
{'k': '15/34', 'status': 'excluded', 'triples_tried': 7}
