shard 17: 1/611 (1,8) t=0s
shard 17: 11/611 (10,27) t=3s
shard 17: 21/611 (23,37) t=9s
shard 17: 31/611 (28,45) t=20s
shard 17: 41/611 (27,52) t=31s
shard 17: 51/611 (39,58) t=40s
shard 17: 61/611 (46,63) t=50s
shard 17: 71/611 (53,68) t=61s
shard 17: 81/611 (31,73) t=78s
shard 17: 91/611 (60,77) t=97s
shard 17: 101/611 (79,81) t=107s
shard 17: 111/611 (71,85) t=120s
shard 17: 121/611 (51,89) t=136s
shard 17: 131/611 (35,93) t=162s
shard 17: 141/611 (13,97) t=180s
shard 17: 151/611 (37,100) t=195s
shard 17: 161/611 (43,103) t=216s
shard 17: 171/611 (91,106) t=240s
shard 17: 181/611 (51,109) t=267s
shard 17: 191/611 (71,112) t=275s
shard 17: 201/611 (44,115) t=285s
shard 17: 211/611 (37,118) t=297s
shard 17: 221/611 (36,121) t=319s
shard 17: 231/611 (97,123) t=340s
shard 17: 241/611 (79,126) t=364s
shard 17: 251/611 (121,128) t=377s
shard 17: 261/611 (65,131) t=410s
shard 17: 271/611 (117,133) t=444s
shard 17: 281/611 (103,136) t=455s
shard 17: 291/611 (5,139) t=469s
shard 17: 301/611 (28,141) t=498s
shard 17: 311/611 (68,143) t=530s
shard 17: 321/611 (114,145) t=566s
shard 17: 331/611 (43,148) t=592s
shard 17: 341/611 (1,150) t=614s
shard 17: 351/611 (23,152) t=635s
shard 17: 361/611 (109,154) t=655s
shard 17: 371/611 (15,157) t=667s
shard 17: 381/611 (119,158) t=675s
shard 17: 391/611 (15,161) t=689s
shard 17: 401/611 (27,163) t=695s
shard 17: 411/611 (133,164) t=707s
shard 17: 421/611 (23,167) t=725s
shard 17: 431/611 (9,169) t=744s
shard 17: 441/611 (139,170) t=752s
shard 17: 451/611 (165,172) t=769s
shard 17: 461/611 (77,174) t=781s
shard 17: 471/611 (107,176) t=797s
shard 17: 481/611 (107,178) t=809s
shard 17: 491/611 (165,179) t=817s
shard 17: 501/611 (139,181) t=827s
shard 17: 511/611 (133,183) t=837s
shard 17: 521/611 (101,185) t=843s
shard 17: 531/611 (87,187) t=851s
shard 17: 541/611 (40,189) t=873s
shard 17: 551/611 (43,191) t=882s
shard 17: 561/611 (157,192) t=888s
shard 17: 571/611 (189,193) t=893s
shard 17: 581/611 (11,196) t=901s
shard 17: 591/611 (121,197) t=909s
shard 17: 601/611 (65,199) t=918s
shard 17: 611/611 (167,200) t=928s
shard 17 done, t=928s
