shard 6: 1/612 (2,5) t=0s
shard 6: 11/612 (17,26) t=2s
shard 6: 21/612 (12,37) t=5s
shard 6: 31/612 (7,45) t=11s
shard 6: 41/612 (3,52) t=16s
shard 6: 51/612 (15,58) t=21s
shard 6: 61/612 (26,63) t=26s
shard 6: 71/612 (29,68) t=33s
shard 6: 81/612 (20,73) t=41s
shard 6: 91/612 (46,77) t=50s
shard 6: 101/612 (62,81) t=58s
shard 6: 111/612 (56,85) t=68s
shard 6: 121/612 (40,89) t=75s
shard 6: 131/612 (17,93) t=90s
shard 6: 141/612 (2,97) t=108s
shard 6: 151/612 (9,100) t=118s
shard 6: 161/612 (32,103) t=134s
shard 6: 171/612 (69,106) t=148s
shard 6: 181/612 (40,109) t=157s
shard 6: 191/612 (45,112) t=167s
shard 6: 201/612 (31,115) t=179s
shard 6: 211/612 (15,118) t=195s
shard 6: 221/612 (24,121) t=212s
shard 6: 231/612 (79,123) t=226s
shard 6: 241/612 (41,126) t=240s
shard 6: 251/612 (99,128) t=251s
shard 6: 261/612 (54,131) t=265s
shard 6: 271/612 (103,133) t=279s
shard 6: 281/612 (79,136) t=292s
shard 6: 291/612 (119,138) t=307s
shard 6: 301/612 (11,141) t=322s
shard 6: 311/612 (54,143) t=337s
shard 6: 321/612 (101,145) t=358s
shard 6: 331/612 (19,148) t=371s
shard 6: 341/612 (138,149) t=388s
shard 6: 351/612 (150,151) t=398s
shard 6: 361/612 (81,154) t=415s
shard 6: 371/612 (4,157) t=443s
shard 6: 381/612 (97,158) t=460s
shard 6: 391/612 (2,161) t=487s
shard 6: 401/612 (16,163) t=509s
shard 6: 411/612 (109,164) t=535s
shard 6: 421/612 (12,167) t=554s
shard 6: 431/612 (157,168) t=577s
shard 6: 441/612 (109,170) t=589s
shard 6: 451/612 (143,172) t=618s
shard 6: 461/612 (43,174) t=632s
shard 6: 471/612 (83,176) t=652s
shard 6: 481/612 (83,178) t=681s
shard 6: 491/612 (154,179) t=687s
shard 6: 501/612 (128,181) t=697s
shard 6: 511/612 (115,183) t=711s
shard 6: 521/612 (87,185) t=722s
shard 6: 531/612 (74,187) t=733s
shard 6: 541/612 (20,189) t=747s
shard 6: 551/612 (32,191) t=759s
shard 6: 561/612 (125,192) t=770s
shard 6: 571/612 (178,193) t=776s
shard 6: 581/612 (181,195) t=787s
shard 6: 591/612 (110,197) t=798s
shard 6: 601/612 (54,199) t=804s
shard 6: 611/612 (139,200) t=810s
shard 6 done, t=811s
