shard 0: 1/612 (1,2) t=0s
shard 0: 11/612 (3,26) t=4s
shard 0: 21/612 (6,37) t=9s
shard 0: 31/612 (39,44) t=16s
shard 0: 41/612 (44,51) t=27s
shard 0: 51/612 (3,58) t=38s
shard 0: 61/612 (17,63) t=42s
shard 0: 71/612 (15,68) t=45s
shard 0: 81/612 (14,73) t=49s
shard 0: 91/612 (38,77) t=54s
shard 0: 101/612 (53,81) t=59s
shard 0: 111/612 (47,85) t=65s
shard 0: 121/612 (34,89) t=76s
shard 0: 131/612 (8,93) t=92s
shard 0: 141/612 (83,96) t=111s
shard 0: 151/612 (95,99) t=125s
shard 0: 161/612 (26,103) t=143s
shard 0: 171/612 (57,106) t=172s
shard 0: 181/612 (34,109) t=193s
shard 0: 191/612 (31,112) t=208s
shard 0: 201/612 (22,115) t=220s
shard 0: 211/612 (3,118) t=255s
shard 0: 221/612 (17,121) t=272s
shard 0: 231/612 (70,123) t=292s
shard 0: 241/612 (19,126) t=302s
shard 0: 251/612 (87,128) t=308s
shard 0: 261/612 (48,131) t=316s
shard 0: 271/612 (96,133) t=323s
shard 0: 281/612 (67,136) t=329s
shard 0: 291/612 (97,138) t=335s
shard 0: 301/612 (2,141) t=343s
shard 0: 311/612 (47,143) t=350s
shard 0: 321/612 (93,145) t=360s
shard 0: 331/612 (7,148) t=367s
shard 0: 341/612 (132,149) t=379s
shard 0: 351/612 (144,151) t=388s
shard 0: 361/612 (67,154) t=398s
shard 0: 371/612 (149,156) t=413s
shard 0: 381/612 (85,158) t=420s
shard 0: 391/612 (149,160) t=428s
shard 0: 401/612 (10,163) t=442s
shard 0: 411/612 (97,164) t=453s
shard 0: 421/612 (6,167) t=459s
shard 0: 431/612 (139,168) t=467s
shard 0: 441/612 (93,170) t=477s
shard 0: 451/612 (131,172) t=487s
shard 0: 461/612 (23,174) t=497s
shard 0: 471/612 (69,176) t=508s
shard 0: 481/612 (71,178) t=517s
shard 0: 491/612 (148,179) t=526s
shard 0: 501/612 (122,181) t=540s
shard 0: 511/612 (106,183) t=556s
shard 0: 521/612 (79,185) t=565s
shard 0: 531/612 (67,187) t=574s
shard 0: 541/612 (10,189) t=593s
shard 0: 551/612 (26,191) t=615s
shard 0: 561/612 (107,192) t=633s
shard 0: 571/612 (172,193) t=643s
shard 0: 581/612 (167,195) t=659s
shard 0: 591/612 (104,197) t=668s
shard 0: 601/612 (48,199) t=676s
shard 0: 611/612 (123,200) t=688s
shard 0 done, t=688s
