shard 5: 1/612 (1,5) t=0s
shard 5: 11/612 (15,26) t=3s
shard 5: 21/612 (11,37) t=7s
shard 5: 31/612 (4,45) t=11s
shard 5: 41/612 (1,52) t=17s
shard 5: 51/612 (13,58) t=23s
shard 5: 61/612 (25,63) t=28s
shard 5: 71/612 (27,68) t=34s
shard 5: 81/612 (19,73) t=43s
shard 5: 91/612 (45,77) t=57s
shard 5: 101/612 (61,81) t=64s
shard 5: 111/612 (54,85) t=69s
shard 5: 121/612 (39,89) t=84s
shard 5: 131/612 (16,93) t=115s
shard 5: 141/612 (1,97) t=129s
shard 5: 151/612 (7,100) t=139s
shard 5: 161/612 (31,103) t=146s
shard 5: 171/612 (67,106) t=153s
shard 5: 181/612 (39,109) t=159s
shard 5: 191/612 (43,112) t=164s
shard 5: 201/612 (29,115) t=172s
shard 5: 211/612 (13,118) t=181s
shard 5: 221/612 (23,121) t=188s
shard 5: 231/612 (77,123) t=197s
shard 5: 241/612 (37,126) t=204s
shard 5: 251/612 (97,128) t=208s
shard 5: 261/612 (53,131) t=217s
shard 5: 271/612 (102,133) t=226s
shard 5: 281/612 (77,136) t=234s
shard 5: 291/612 (113,138) t=241s
shard 5: 301/612 (10,141) t=253s
shard 5: 311/612 (53,143) t=271s
shard 5: 321/612 (99,145) t=288s
shard 5: 331/612 (17,148) t=299s
shard 5: 341/612 (137,149) t=324s
shard 5: 351/612 (149,151) t=354s
shard 5: 361/612 (79,154) t=382s
shard 5: 371/612 (3,157) t=431s
shard 5: 381/612 (95,158) t=486s
shard 5: 391/612 (1,161) t=504s
shard 5: 401/612 (15,163) t=556s
shard 5: 411/612 (107,164) t=577s
shard 5: 421/612 (11,167) t=620s
shard 5: 431/612 (155,168) t=645s
shard 5: 441/612 (107,170) t=650s
shard 5: 451/612 (141,172) t=686s
shard 5: 461/612 (41,174) t=701s
shard 5: 471/612 (81,176) t=727s
shard 5: 481/612 (81,178) t=757s
shard 5: 491/612 (153,179) t=791s
shard 5: 501/612 (127,181) t=816s
shard 5: 511/612 (113,183) t=858s
shard 5: 521/612 (86,185) t=887s
shard 5: 531/612 (73,187) t=900s
shard 5: 541/612 (19,189) t=916s
shard 5: 551/612 (31,191) t=924s
shard 5: 561/612 (121,192) t=931s
shard 5: 571/612 (177,193) t=936s
shard 5: 581/612 (179,195) t=950s
shard 5: 591/612 (109,197) t=958s
shard 5: 601/612 (53,199) t=965s
shard 5: 611/612 (137,200) t=976s
shard 5 done, t=978s
