shard 12: 1/611 (2,7) t=0s
shard 12: 11/611 (2,27) t=2s
shard 12: 21/611 (18,37) t=6s
shard 12: 31/611 (17,45) t=12s
shard 12: 41/611 (17,52) t=14s
shard 12: 51/611 (27,58) t=18s
shard 12: 61/611 (38,63) t=21s
shard 12: 71/611 (41,68) t=24s
shard 12: 81/611 (26,73) t=33s
shard 12: 91/611 (53,77) t=39s
shard 12: 101/611 (71,81) t=46s
shard 12: 111/611 (63,85) t=53s
shard 12: 121/611 (46,89) t=64s
shard 12: 131/611 (26,93) t=71s
shard 12: 141/611 (8,97) t=77s
shard 12: 151/611 (23,100) t=81s
shard 12: 161/611 (38,103) t=87s
shard 12: 171/611 (81,106) t=94s
shard 12: 181/611 (46,109) t=99s
shard 12: 191/611 (59,112) t=105s
shard 12: 201/611 (38,115) t=109s
shard 12: 211/611 (27,118) t=117s
shard 12: 221/611 (30,121) t=127s
shard 12: 231/611 (89,123) t=136s
shard 12: 241/611 (61,126) t=149s
shard 12: 251/611 (111,128) t=156s
shard 12: 261/611 (60,131) t=169s
shard 12: 271/611 (110,133) t=184s
shard 12: 281/611 (93,136) t=196s
shard 12: 291/611 (137,138) t=210s
shard 12: 301/611 (20,141) t=231s
shard 12: 311/611 (61,143) t=255s
shard 12: 321/611 (108,145) t=281s
shard 12: 331/611 (31,148) t=296s
shard 12: 341/611 (144,149) t=314s
shard 12: 351/611 (11,152) t=337s
shard 12: 361/611 (95,154) t=373s
shard 12: 371/611 (10,157) t=400s
shard 12: 381/611 (109,158) t=419s
shard 12: 391/611 (9,161) t=482s
shard 12: 401/611 (22,163) t=503s
shard 12: 411/611 (121,164) t=528s
shard 12: 421/611 (18,167) t=595s
shard 12: 431/611 (4,169) t=618s
shard 12: 441/611 (127,170) t=638s
shard 12: 451/611 (155,172) t=665s
shard 12: 461/611 (61,174) t=697s
shard 12: 471/611 (95,176) t=713s
shard 12: 481/611 (97,178) t=741s
shard 12: 491/611 (160,179) t=785s
shard 12: 501/611 (134,181) t=805s
shard 12: 511/611 (125,183) t=816s
shard 12: 521/611 (94,185) t=838s
shard 12: 531/611 (81,187) t=849s
shard 12: 541/611 (31,189) t=860s
shard 12: 551/611 (38,191) t=868s
shard 12: 561/611 (143,192) t=877s
shard 12: 571/611 (184,193) t=884s
shard 12: 581/611 (194,195) t=898s
shard 12: 591/611 (116,197) t=907s
shard 12: 601/611 (60,199) t=917s
shard 12: 611/611 (153,200) t=927s
shard 12 done, t=927s
