shard 3: 1/612 (1,4) t=0s
shard 3: 11/612 (9,26) t=3s
shard 3: 21/612 (9,37) t=5s
shard 3: 31/612 (1,45) t=9s
shard 3: 41/612 (49,51) t=13s
shard 3: 51/612 (9,58) t=17s
shard 3: 61/612 (22,63) t=23s
shard 3: 71/612 (23,68) t=32s
shard 3: 81/612 (17,73) t=41s
shard 3: 91/612 (41,77) t=54s
shard 3: 101/612 (58,81) t=64s
shard 3: 111/612 (52,85) t=82s
shard 3: 121/612 (37,89) t=89s
shard 3: 131/612 (13,93) t=108s
shard 3: 141/612 (91,96) t=126s
shard 3: 151/612 (1,100) t=141s
shard 3: 161/612 (29,103) t=154s
shard 3: 171/612 (63,106) t=178s
shard 3: 181/612 (37,109) t=198s
shard 3: 191/612 (39,112) t=228s
shard 3: 201/612 (27,115) t=239s
shard 3: 211/612 (9,118) t=270s
shard 3: 221/612 (20,121) t=288s
shard 3: 231/612 (74,123) t=301s
shard 3: 241/612 (29,126) t=305s
shard 3: 251/612 (93,128) t=311s
shard 3: 261/612 (51,131) t=316s
shard 3: 271/612 (100,133) t=323s
shard 3: 281/612 (73,136) t=329s
shard 3: 291/612 (107,138) t=344s
shard 3: 301/612 (7,141) t=352s
shard 3: 311/612 (50,143) t=360s
shard 3: 321/612 (97,145) t=367s
shard 3: 331/612 (13,148) t=388s
shard 3: 341/612 (135,149) t=417s
shard 3: 351/612 (147,151) t=429s
shard 3: 361/612 (73,154) t=454s
shard 3: 371/612 (1,157) t=499s
shard 3: 381/612 (91,158) t=522s
shard 3: 391/612 (157,160) t=567s
shard 3: 401/612 (13,163) t=594s
shard 3: 411/612 (103,164) t=624s
shard 3: 421/612 (9,167) t=655s
shard 3: 431/612 (149,168) t=684s
shard 3: 441/612 (101,170) t=697s
shard 3: 451/612 (137,172) t=708s
shard 3: 461/612 (35,174) t=716s
shard 3: 471/612 (75,176) t=725s
shard 3: 481/612 (77,178) t=735s
shard 3: 491/612 (151,179) t=742s
shard 3: 501/612 (125,181) t=757s
shard 3: 511/612 (110,183) t=775s
shard 3: 521/612 (83,185) t=785s
shard 3: 531/612 (71,187) t=794s
shard 3: 541/612 (16,189) t=810s
shard 3: 551/612 (29,191) t=818s
shard 3: 561/612 (115,192) t=830s
shard 3: 571/612 (175,193) t=838s
shard 3: 581/612 (176,195) t=853s
shard 3: 591/612 (107,197) t=864s
shard 3: 601/612 (51,199) t=873s
shard 3: 611/612 (131,200) t=880s
shard 3 done, t=881s
