shard 10: 1/612 (5,6) t=0s
shard 10: 11/612 (25,26) t=1s
shard 10: 21/612 (16,37) t=7s
shard 10: 31/612 (14,45) t=13s
shard 10: 41/612 (11,52) t=23s
shard 10: 51/612 (23,58) t=32s
shard 10: 61/612 (34,63) t=40s
shard 10: 71/612 (37,68) t=52s
shard 10: 81/612 (24,73) t=61s
shard 10: 91/612 (51,77) t=79s
shard 10: 101/612 (68,81) t=93s
shard 10: 111/612 (61,85) t=105s
shard 10: 121/612 (44,89) t=113s
shard 10: 131/612 (23,93) t=123s
shard 10: 141/612 (6,97) t=134s
shard 10: 151/612 (19,100) t=140s
shard 10: 161/612 (36,103) t=145s
shard 10: 171/612 (77,106) t=157s
shard 10: 181/612 (44,109) t=165s
shard 10: 191/612 (55,112) t=175s
shard 10: 201/612 (36,115) t=195s
shard 10: 211/612 (23,118) t=210s
shard 10: 221/612 (28,121) t=223s
shard 10: 231/612 (86,123) t=229s
shard 10: 241/612 (55,126) t=234s
shard 10: 251/612 (107,128) t=243s
shard 10: 261/612 (58,131) t=251s
shard 10: 271/612 (108,133) t=265s
shard 10: 281/612 (89,136) t=276s
shard 10: 291/612 (131,138) t=288s
shard 10: 301/612 (17,141) t=295s
shard 10: 311/612 (59,143) t=304s
shard 10: 321/612 (106,145) t=310s
shard 10: 331/612 (27,148) t=318s
shard 10: 341/612 (142,149) t=327s
shard 10: 351/612 (7,152) t=333s
shard 10: 361/612 (89,154) t=342s
shard 10: 371/612 (8,157) t=353s
shard 10: 381/612 (105,158) t=360s
shard 10: 391/612 (6,161) t=368s
shard 10: 401/612 (20,163) t=379s
shard 10: 411/612 (117,164) t=385s
shard 10: 421/612 (16,167) t=393s
shard 10: 431/612 (2,169) t=403s
shard 10: 441/612 (121,170) t=410s
shard 10: 451/612 (151,172) t=425s
shard 10: 461/612 (55,174) t=437s
shard 10: 471/612 (91,176) t=452s
shard 10: 481/612 (93,178) t=465s
shard 10: 491/612 (158,179) t=477s
shard 10: 501/612 (132,181) t=493s
shard 10: 511/612 (121,183) t=503s
shard 10: 521/612 (92,185) t=517s
shard 10: 531/612 (79,187) t=531s
shard 10: 541/612 (26,189) t=550s
shard 10: 551/612 (36,191) t=557s
shard 10: 561/612 (137,192) t=565s
shard 10: 571/612 (182,193) t=572s
shard 10: 581/612 (191,195) t=589s
shard 10: 591/612 (114,197) t=596s
shard 10: 601/612 (58,199) t=603s
shard 10: 611/612 (149,200) t=610s
shard 10 done, t=611s
