shard 1: 1/612 (1,3) t=0s
shard 1: 11/612 (5,26) t=2s
shard 1: 21/612 (7,37) t=4s
shard 1: 31/612 (41,44) t=7s
shard 1: 41/612 (46,51) t=13s
shard 1: 51/612 (5,58) t=20s
shard 1: 61/612 (19,63) t=27s
shard 1: 71/612 (19,68) t=35s
shard 1: 81/612 (15,73) t=50s
shard 1: 91/612 (39,77) t=67s
shard 1: 101/612 (55,81) t=78s
shard 1: 111/612 (48,85) t=94s
shard 1: 121/612 (35,89) t=109s
shard 1: 131/612 (10,93) t=138s
shard 1: 141/612 (85,96) t=150s
shard 1: 151/612 (97,99) t=162s
shard 1: 161/612 (27,103) t=183s
shard 1: 171/612 (59,106) t=203s
shard 1: 181/612 (35,109) t=225s
shard 1: 191/612 (33,112) t=252s
shard 1: 201/612 (24,115) t=272s
shard 1: 211/612 (5,118) t=310s
shard 1: 221/612 (18,121) t=327s
shard 1: 231/612 (71,123) t=346s
shard 1: 241/612 (23,126) t=358s
shard 1: 251/612 (89,128) t=376s
shard 1: 261/612 (49,131) t=393s
shard 1: 271/612 (97,133) t=413s
shard 1: 281/612 (69,136) t=434s
shard 1: 291/612 (101,138) t=446s
shard 1: 301/612 (4,141) t=460s
shard 1: 311/612 (48,143) t=476s
shard 1: 321/612 (94,145) t=498s
shard 1: 331/612 (9,148) t=509s
shard 1: 341/612 (133,149) t=524s
shard 1: 351/612 (145,151) t=538s
shard 1: 361/612 (69,154) t=565s
shard 1: 371/612 (151,156) t=582s
shard 1: 381/612 (87,158) t=596s
shard 1: 391/612 (151,160) t=608s
shard 1: 401/612 (11,163) t=636s
shard 1: 411/612 (99,164) t=662s
shard 1: 421/612 (7,167) t=695s
shard 1: 431/612 (143,168) t=712s
shard 1: 441/612 (97,170) t=720s
shard 1: 451/612 (133,172) t=728s
shard 1: 461/612 (25,174) t=733s
shard 1: 471/612 (71,176) t=741s
shard 1: 481/612 (73,178) t=756s
shard 1: 491/612 (149,179) t=768s
shard 1: 501/612 (123,181) t=779s
shard 1: 511/612 (107,183) t=787s
shard 1: 521/612 (81,185) t=799s
shard 1: 531/612 (69,187) t=810s
shard 1: 541/612 (11,189) t=823s
shard 1: 551/612 (27,191) t=833s
shard 1: 561/612 (109,192) t=840s
shard 1: 571/612 (173,193) t=846s
shard 1: 581/612 (172,195) t=862s
shard 1: 591/612 (105,197) t=869s
shard 1: 601/612 (49,199) t=878s
shard 1: 611/612 (127,200) t=884s
shard 1 done, t=885s
