shard 16: 1/611 (6,7) t=0s
shard 16: 11/611 (8,27) t=3s
shard 16: 21/611 (22,37) t=7s
shard 16: 31/611 (26,45) t=11s
shard 16: 41/611 (25,52) t=16s
shard 16: 51/611 (37,58) t=20s
shard 16: 61/611 (44,63) t=23s
shard 16: 71/611 (49,68) t=28s
shard 16: 81/611 (30,73) t=33s
shard 16: 91/611 (59,77) t=40s
shard 16: 101/611 (77,81) t=49s
shard 16: 111/611 (69,85) t=66s
shard 16: 121/611 (50,89) t=81s
shard 16: 131/611 (34,93) t=99s
shard 16: 141/611 (12,97) t=116s
shard 16: 151/611 (33,100) t=137s
shard 16: 161/611 (42,103) t=153s
shard 16: 171/611 (89,106) t=175s
shard 16: 181/611 (50,109) t=194s
shard 16: 191/611 (69,112) t=210s
shard 16: 201/611 (43,115) t=245s
shard 16: 211/611 (35,118) t=260s
shard 16: 221/611 (35,121) t=303s
shard 16: 231/611 (95,123) t=327s
shard 16: 241/611 (73,126) t=340s
shard 16: 251/611 (119,128) t=354s
shard 16: 261/611 (64,131) t=382s
shard 16: 271/611 (116,133) t=415s
shard 16: 281/611 (101,136) t=431s
shard 16: 291/611 (4,139) t=448s
shard 16: 301/611 (26,141) t=459s
shard 16: 311/611 (67,143) t=470s
shard 16: 321/611 (113,145) t=480s
shard 16: 331/611 (41,148) t=488s
shard 16: 341/611 (148,149) t=502s
shard 16: 351/611 (21,152) t=530s
shard 16: 361/611 (107,154) t=543s
shard 16: 371/611 (14,157) t=560s
shard 16: 381/611 (117,158) t=567s
shard 16: 391/611 (13,161) t=586s
shard 16: 401/611 (26,163) t=609s
shard 16: 411/611 (131,164) t=619s
shard 16: 421/611 (22,167) t=630s
shard 16: 431/611 (8,169) t=639s
shard 16: 441/611 (137,170) t=647s
shard 16: 451/611 (163,172) t=656s
shard 16: 461/611 (73,174) t=664s
shard 16: 471/611 (105,176) t=675s
shard 16: 481/611 (105,178) t=693s
shard 16: 491/611 (164,179) t=709s
shard 16: 501/611 (138,181) t=717s
shard 16: 511/611 (131,183) t=731s
shard 16: 521/611 (99,185) t=744s
shard 16: 531/611 (86,187) t=758s
shard 16: 541/611 (38,189) t=769s
shard 16: 551/611 (42,191) t=779s
shard 16: 561/611 (155,192) t=787s
shard 16: 571/611 (188,193) t=795s
shard 16: 581/611 (9,196) t=832s
shard 16: 591/611 (120,197) t=847s
shard 16: 601/611 (64,199) t=857s
shard 16: 611/611 (163,200) t=867s
shard 16 done, t=867s
