shard 11: 1/611 (1,7) t=0s
shard 11: 11/611 (1,27) t=3s
shard 11: 21/611 (17,37) t=8s
shard 11: 31/611 (16,45) t=15s
shard 11: 41/611 (15,52) t=22s
shard 11: 51/611 (25,58) t=29s
shard 11: 61/611 (37,63) t=37s
shard 11: 71/611 (39,68) t=40s
shard 11: 81/611 (25,73) t=43s
shard 11: 91/611 (52,77) t=50s
shard 11: 101/611 (70,81) t=54s
shard 11: 111/611 (62,85) t=59s
shard 11: 121/611 (45,89) t=62s
shard 11: 131/611 (25,93) t=70s
shard 11: 141/611 (7,97) t=79s
shard 11: 151/611 (21,100) t=90s
shard 11: 161/611 (37,103) t=98s
shard 11: 171/611 (79,106) t=108s
shard 11: 181/611 (45,109) t=115s
shard 11: 191/611 (57,112) t=141s
shard 11: 201/611 (37,115) t=156s
shard 11: 211/611 (25,118) t=180s
shard 11: 221/611 (29,121) t=204s
shard 11: 231/611 (88,123) t=223s
shard 11: 241/611 (59,126) t=240s
shard 11: 251/611 (109,128) t=259s
shard 11: 261/611 (59,131) t=272s
shard 11: 271/611 (109,133) t=283s
shard 11: 281/611 (91,136) t=289s
shard 11: 291/611 (133,138) t=298s
shard 11: 301/611 (19,141) t=314s
shard 11: 311/611 (60,143) t=340s
shard 11: 321/611 (107,145) t=362s
shard 11: 331/611 (29,148) t=370s
shard 11: 341/611 (143,149) t=386s
shard 11: 351/611 (9,152) t=402s
shard 11: 361/611 (93,154) t=427s
shard 11: 371/611 (9,157) t=454s
shard 11: 381/611 (107,158) t=465s
shard 11: 391/611 (8,161) t=479s
shard 11: 401/611 (21,163) t=494s
shard 11: 411/611 (119,164) t=511s
shard 11: 421/611 (17,167) t=549s
shard 11: 431/611 (3,169) t=567s
shard 11: 441/611 (123,170) t=585s
shard 11: 451/611 (153,172) t=611s
shard 11: 461/611 (59,174) t=636s
shard 11: 471/611 (93,176) t=664s
shard 11: 481/611 (95,178) t=692s
shard 11: 491/611 (159,179) t=708s
shard 11: 501/611 (133,181) t=735s
shard 11: 511/611 (124,183) t=763s
shard 11: 521/611 (93,185) t=791s
shard 11: 531/611 (80,187) t=807s
shard 11: 541/611 (29,189) t=818s
shard 11: 551/611 (37,191) t=826s
shard 11: 561/611 (139,192) t=836s
shard 11: 571/611 (183,193) t=844s
shard 11: 581/611 (193,195) t=854s
shard 11: 591/611 (115,197) t=869s
shard 11: 601/611 (59,199) t=877s
shard 11: 611/611 (151,200) t=883s
shard 11 done, t=883s
