shard 14: 1/611 (4,7) t=0s
shard 14: 11/611 (5,27) t=2s
shard 14: 21/611 (20,37) t=6s
shard 14: 31/611 (22,45) t=8s
shard 14: 41/611 (21,52) t=10s
shard 14: 51/611 (33,58) t=14s
shard 14: 61/611 (41,63) t=17s
shard 14: 71/611 (45,68) t=21s
shard 14: 81/611 (28,73) t=25s
shard 14: 91/611 (57,77) t=30s
shard 14: 101/611 (74,81) t=34s
shard 14: 111/611 (66,85) t=48s
shard 14: 121/611 (48,89) t=57s
shard 14: 131/611 (29,93) t=67s
shard 14: 141/611 (10,97) t=73s
shard 14: 151/611 (29,100) t=78s
shard 14: 161/611 (40,103) t=83s
shard 14: 171/611 (85,106) t=92s
shard 14: 181/611 (48,109) t=98s
shard 14: 191/611 (65,112) t=106s
shard 14: 201/611 (41,115) t=114s
shard 14: 211/611 (31,118) t=123s
shard 14: 221/611 (32,121) t=131s
shard 14: 231/611 (92,123) t=136s
shard 14: 241/611 (67,126) t=145s
shard 14: 251/611 (115,128) t=151s
shard 14: 261/611 (62,131) t=156s
shard 14: 271/611 (113,133) t=166s
shard 14: 281/611 (97,136) t=170s
shard 14: 291/611 (2,139) t=187s
shard 14: 301/611 (23,141) t=222s
shard 14: 311/611 (63,143) t=241s
shard 14: 321/611 (111,145) t=273s
shard 14: 331/611 (35,148) t=281s
shard 14: 341/611 (146,149) t=291s
shard 14: 351/611 (15,152) t=305s
shard 14: 361/611 (101,154) t=319s
shard 14: 371/611 (12,157) t=341s
shard 14: 381/611 (113,158) t=358s
shard 14: 391/611 (11,161) t=371s
shard 14: 401/611 (24,163) t=383s
shard 14: 411/611 (127,164) t=405s
shard 14: 421/611 (20,167) t=420s
shard 14: 431/611 (6,169) t=456s
shard 14: 441/611 (131,170) t=461s
shard 14: 451/611 (159,172) t=472s
shard 14: 461/611 (67,174) t=479s
shard 14: 471/611 (101,176) t=489s
shard 14: 481/611 (101,178) t=501s
shard 14: 491/611 (162,179) t=509s
shard 14: 501/611 (136,181) t=517s
shard 14: 511/611 (128,183) t=530s
shard 14: 521/611 (97,185) t=538s
shard 14: 531/611 (83,187) t=560s
shard 14: 541/611 (34,189) t=571s
shard 14: 551/611 (40,191) t=581s
shard 14: 561/611 (149,192) t=593s
shard 14: 571/611 (186,193) t=599s
shard 14: 581/611 (3,196) t=610s
shard 14: 591/611 (118,197) t=620s
shard 14: 601/611 (62,199) t=630s
shard 14: 611/611 (159,200) t=641s
shard 14 done, t=641s
