shard 19: 1/611 (5,8) t=0s
shard 19: 11/611 (13,27) t=3s
shard 19: 21/611 (25,37) t=9s
shard 19: 31/611 (31,45) t=14s
shard 19: 41/611 (31,52) t=18s
shard 19: 51/611 (43,58) t=23s
shard 19: 61/611 (50,63) t=30s
shard 19: 71/611 (57,68) t=37s
shard 19: 81/611 (33,73) t=40s
shard 19: 91/611 (62,77) t=44s
shard 19: 101/611 (1,82) t=49s
shard 19: 111/611 (73,85) t=53s
shard 19: 121/611 (53,89) t=59s
shard 19: 131/611 (38,93) t=62s
shard 19: 141/611 (15,97) t=76s
shard 19: 151/611 (41,100) t=91s
shard 19: 161/611 (45,103) t=98s
shard 19: 171/611 (95,106) t=113s
shard 19: 181/611 (53,109) t=119s
shard 19: 191/611 (75,112) t=130s
shard 19: 201/611 (48,115) t=135s
shard 19: 211/611 (41,118) t=143s
shard 19: 221/611 (38,121) t=167s
shard 19: 231/611 (100,123) t=183s
shard 19: 241/611 (85,126) t=198s
shard 19: 251/611 (125,128) t=208s
shard 19: 261/611 (67,131) t=229s
shard 19: 271/611 (120,133) t=250s
shard 19: 281/611 (107,136) t=259s
shard 19: 291/611 (7,139) t=268s
shard 19: 301/611 (31,141) t=286s
shard 19: 311/611 (70,143) t=314s
shard 19: 321/611 (118,145) t=347s
shard 19: 331/611 (47,148) t=362s
shard 19: 341/611 (11,150) t=384s
shard 19: 351/611 (27,152) t=394s
shard 19: 361/611 (113,154) t=414s
shard 19: 371/611 (17,157) t=448s
shard 19: 381/611 (123,158) t=457s
shard 19: 391/611 (17,161) t=468s
shard 19: 401/611 (29,163) t=480s
shard 19: 411/611 (137,164) t=502s
shard 19: 421/611 (25,167) t=540s
shard 19: 431/611 (11,169) t=574s
shard 19: 441/611 (143,170) t=591s
shard 19: 451/611 (169,172) t=616s
shard 19: 461/611 (83,174) t=628s
shard 19: 471/611 (111,176) t=636s
shard 19: 481/611 (111,178) t=648s
shard 19: 491/611 (167,179) t=653s
shard 19: 501/611 (141,181) t=658s
shard 19: 511/611 (136,183) t=677s
shard 19: 521/611 (103,185) t=695s
shard 19: 531/611 (90,187) t=711s
shard 19: 541/611 (43,189) t=723s
shard 19: 551/611 (45,191) t=729s
shard 19: 561/611 (163,192) t=742s
shard 19: 571/611 (191,193) t=753s
shard 19: 581/611 (15,196) t=767s
shard 19: 591/611 (123,197) t=779s
shard 19: 601/611 (67,199) t=789s
shard 19: 611/611 (171,200) t=798s
shard 19 done, t=798s
