shard 18: 1/611 (3,8) t=0s
shard 18: 11/611 (11,27) t=3s
shard 18: 21/611 (24,37) t=8s
shard 18: 31/611 (29,45) t=16s
shard 18: 41/611 (29,52) t=28s
shard 18: 51/611 (41,58) t=35s
shard 18: 61/611 (47,63) t=45s
shard 18: 71/611 (55,68) t=59s
shard 18: 81/611 (32,73) t=65s
shard 18: 91/611 (61,77) t=76s
shard 18: 101/611 (80,81) t=85s
shard 18: 111/611 (72,85) t=91s
shard 18: 121/611 (52,89) t=102s
shard 18: 131/611 (37,93) t=112s
shard 18: 141/611 (14,97) t=120s
shard 18: 151/611 (39,100) t=127s
shard 18: 161/611 (44,103) t=135s
shard 18: 171/611 (93,106) t=147s
shard 18: 181/611 (52,109) t=156s
shard 18: 191/611 (73,112) t=166s
shard 18: 201/611 (47,115) t=176s
shard 18: 211/611 (39,118) t=190s
shard 18: 221/611 (37,121) t=212s
shard 18: 231/611 (98,123) t=220s
shard 18: 241/611 (83,126) t=230s
shard 18: 251/611 (123,128) t=242s
shard 18: 261/611 (66,131) t=252s
shard 18: 271/611 (118,133) t=273s
shard 18: 281/611 (105,136) t=302s
shard 18: 291/611 (6,139) t=312s
shard 18: 301/611 (29,141) t=326s
shard 18: 311/611 (69,143) t=341s
shard 18: 321/611 (117,145) t=357s
shard 18: 331/611 (45,148) t=373s
shard 18: 341/611 (7,150) t=380s
shard 18: 351/611 (25,152) t=392s
shard 18: 361/611 (111,154) t=413s
shard 18: 371/611 (16,157) t=430s
shard 18: 381/611 (121,158) t=438s
shard 18: 391/611 (16,161) t=446s
shard 18: 401/611 (28,163) t=452s
shard 18: 411/611 (135,164) t=465s
shard 18: 421/611 (24,167) t=474s
shard 18: 431/611 (10,169) t=483s
shard 18: 441/611 (141,170) t=500s
shard 18: 451/611 (167,172) t=519s
shard 18: 461/611 (79,174) t=536s
shard 18: 471/611 (109,176) t=558s
shard 18: 481/611 (109,178) t=587s
shard 18: 491/611 (166,179) t=601s
shard 18: 501/611 (140,181) t=618s
shard 18: 511/611 (134,183) t=629s
shard 18: 521/611 (102,185) t=640s
shard 18: 531/611 (89,187) t=655s
shard 18: 541/611 (41,189) t=667s
shard 18: 551/611 (44,191) t=681s
shard 18: 561/611 (161,192) t=689s
shard 18: 571/611 (190,193) t=696s
shard 18: 581/611 (13,196) t=708s
shard 18: 591/611 (122,197) t=716s
shard 18: 601/611 (66,199) t=724s
shard 18: 611/611 (169,200) t=732s
shard 18 done, t=732s
