shard 2: 1/612 (2,3) t=0s
shard 2: 11/612 (7,26) t=2s
shard 2: 21/612 (8,37) t=4s
shard 2: 31/612 (43,44) t=6s
shard 2: 41/612 (47,51) t=8s
shard 2: 51/612 (7,58) t=17s
shard 2: 61/612 (20,63) t=26s
shard 2: 71/612 (21,68) t=35s
shard 2: 81/612 (16,73) t=39s
shard 2: 91/612 (40,77) t=45s
shard 2: 101/612 (56,81) t=49s
shard 2: 111/612 (49,85) t=53s
shard 2: 121/612 (36,89) t=58s
shard 2: 131/612 (11,93) t=65s
shard 2: 141/612 (89,96) t=71s
shard 2: 151/612 (98,99) t=76s
shard 2: 161/612 (28,103) t=82s
shard 2: 171/612 (61,106) t=94s
shard 2: 181/612 (36,109) t=100s
shard 2: 191/612 (37,112) t=110s
shard 2: 201/612 (26,115) t=117s
shard 2: 211/612 (7,118) t=124s
shard 2: 221/612 (19,121) t=131s
shard 2: 231/612 (73,123) t=138s
shard 2: 241/612 (25,126) t=145s
shard 2: 251/612 (91,128) t=150s
shard 2: 261/612 (50,131) t=158s
shard 2: 271/612 (99,133) t=168s
shard 2: 281/612 (71,136) t=174s
shard 2: 291/612 (103,138) t=181s
shard 2: 301/612 (5,141) t=188s
shard 2: 311/612 (49,143) t=196s
shard 2: 321/612 (96,145) t=203s
shard 2: 331/612 (11,148) t=213s
shard 2: 341/612 (134,149) t=218s
shard 2: 351/612 (146,151) t=225s
shard 2: 361/612 (71,154) t=233s
shard 2: 371/612 (155,156) t=240s
shard 2: 381/612 (89,158) t=252s
shard 2: 391/612 (153,160) t=261s
shard 2: 401/612 (12,163) t=276s
shard 2: 411/612 (101,164) t=296s
shard 2: 421/612 (8,167) t=317s
shard 2: 431/612 (145,168) t=340s
shard 2: 441/612 (99,170) t=359s
shard 2: 451/612 (135,172) t=391s
shard 2: 461/612 (31,174) t=402s
shard 2: 471/612 (73,176) t=416s
shard 2: 481/612 (75,178) t=440s
shard 2: 491/612 (150,179) t=447s
shard 2: 501/612 (124,181) t=476s
shard 2: 511/612 (109,183) t=493s
shard 2: 521/612 (82,185) t=526s
shard 2: 531/612 (70,187) t=553s
shard 2: 541/612 (13,189) t=585s
shard 2: 551/612 (28,191) t=604s
shard 2: 561/612 (113,192) t=616s
shard 2: 571/612 (174,193) t=625s
shard 2: 581/612 (173,195) t=644s
shard 2: 591/612 (106,197) t=650s
shard 2: 601/612 (50,199) t=657s
shard 2: 611/612 (129,200) t=664s
shard 2 done, t=664s
