shard 13: 1/611 (3,7) t=0s
shard 13: 11/611 (4,27) t=4s
shard 13: 21/611 (19,37) t=11s
shard 13: 31/611 (19,45) t=18s
shard 13: 41/611 (19,52) t=25s
shard 13: 51/611 (31,58) t=33s
shard 13: 61/611 (40,63) t=41s
shard 13: 71/611 (43,68) t=49s
shard 13: 81/611 (27,73) t=56s
shard 13: 91/611 (54,77) t=65s
shard 13: 101/611 (73,81) t=72s
shard 13: 111/611 (64,85) t=82s
shard 13: 121/611 (47,89) t=94s
shard 13: 131/611 (28,93) t=105s
shard 13: 141/611 (9,97) t=117s
shard 13: 151/611 (27,100) t=126s
shard 13: 161/611 (39,103) t=137s
shard 13: 171/611 (83,106) t=151s
shard 13: 181/611 (47,109) t=161s
shard 13: 191/611 (61,112) t=171s
shard 13: 201/611 (39,115) t=183s
shard 13: 211/611 (29,118) t=204s
shard 13: 221/611 (31,121) t=219s
shard 13: 231/611 (91,123) t=229s
shard 13: 241/611 (65,126) t=239s
shard 13: 251/611 (113,128) t=248s
shard 13: 261/611 (61,131) t=264s
shard 13: 271/611 (111,133) t=288s
shard 13: 281/611 (95,136) t=308s
shard 13: 291/611 (1,139) t=318s
shard 13: 301/611 (22,141) t=340s
shard 13: 311/611 (62,143) t=353s
shard 13: 321/611 (109,145) t=369s
shard 13: 331/611 (33,148) t=382s
shard 13: 341/611 (145,149) t=395s
shard 13: 351/611 (13,152) t=415s
shard 13: 361/611 (97,154) t=438s
shard 13: 371/611 (11,157) t=468s
shard 13: 381/611 (111,158) t=490s
shard 13: 391/611 (10,161) t=508s
shard 13: 401/611 (23,163) t=528s
shard 13: 411/611 (125,164) t=539s
shard 13: 421/611 (19,167) t=557s
shard 13: 431/611 (5,169) t=569s
shard 13: 441/611 (129,170) t=589s
shard 13: 451/611 (157,172) t=618s
shard 13: 461/611 (65,174) t=629s
shard 13: 471/611 (97,176) t=647s
shard 13: 481/611 (99,178) t=667s
shard 13: 491/611 (161,179) t=673s
shard 13: 501/611 (135,181) t=685s
shard 13: 511/611 (127,183) t=698s
shard 13: 521/611 (96,185) t=721s
shard 13: 531/611 (82,187) t=739s
shard 13: 541/611 (32,189) t=762s
shard 13: 551/611 (39,191) t=771s
shard 13: 561/611 (145,192) t=778s
shard 13: 571/611 (185,193) t=785s
shard 13: 581/611 (1,196) t=802s
shard 13: 591/611 (117,197) t=811s
shard 13: 601/611 (61,199) t=818s
shard 13: 611/611 (157,200) t=831s
shard 13 done, t=831s
