shard 15: 1/611 (5,7) t=0s
shard 15: 11/611 (7,27) t=2s
shard 15: 21/611 (21,37) t=4s
shard 15: 31/611 (23,45) t=8s
shard 15: 41/611 (23,52) t=10s
shard 15: 51/611 (35,58) t=16s
shard 15: 61/611 (43,63) t=20s
shard 15: 71/611 (47,68) t=26s
shard 15: 81/611 (29,73) t=29s
shard 15: 91/611 (58,77) t=33s
shard 15: 101/611 (76,81) t=41s
shard 15: 111/611 (67,85) t=59s
shard 15: 121/611 (49,89) t=70s
shard 15: 131/611 (32,93) t=91s
shard 15: 141/611 (11,97) t=106s
shard 15: 151/611 (31,100) t=123s
shard 15: 161/611 (41,103) t=140s
shard 15: 171/611 (87,106) t=157s
shard 15: 181/611 (49,109) t=168s
shard 15: 191/611 (67,112) t=185s
shard 15: 201/611 (42,115) t=201s
shard 15: 211/611 (33,118) t=224s
shard 15: 221/611 (34,121) t=262s
shard 15: 231/611 (94,123) t=287s
shard 15: 241/611 (71,126) t=299s
shard 15: 251/611 (117,128) t=315s
shard 15: 261/611 (63,131) t=328s
shard 15: 271/611 (115,133) t=347s
shard 15: 281/611 (99,136) t=359s
shard 15: 291/611 (3,139) t=371s
shard 15: 301/611 (25,141) t=383s
shard 15: 311/611 (64,143) t=396s
shard 15: 321/611 (112,145) t=410s
shard 15: 331/611 (39,148) t=430s
shard 15: 341/611 (147,149) t=447s
shard 15: 351/611 (17,152) t=459s
shard 15: 361/611 (103,154) t=482s
shard 15: 371/611 (13,157) t=501s
shard 15: 381/611 (115,158) t=514s
shard 15: 391/611 (12,161) t=535s
shard 15: 401/611 (25,163) t=548s
shard 15: 411/611 (129,164) t=568s
shard 15: 421/611 (21,167) t=592s
shard 15: 431/611 (7,169) t=609s
shard 15: 441/611 (133,170) t=626s
shard 15: 451/611 (161,172) t=646s
shard 15: 461/611 (71,174) t=655s
shard 15: 471/611 (103,176) t=664s
shard 15: 481/611 (103,178) t=676s
shard 15: 491/611 (163,179) t=682s
shard 15: 501/611 (137,181) t=692s
shard 15: 511/611 (130,183) t=708s
shard 15: 521/611 (98,185) t=722s
shard 15: 531/611 (84,187) t=735s
shard 15: 541/611 (37,189) t=745s
shard 15: 551/611 (41,191) t=755s
shard 15: 561/611 (151,192) t=762s
shard 15: 571/611 (187,193) t=776s
shard 15: 581/611 (5,196) t=794s
shard 15: 591/611 (119,197) t=805s
shard 15: 601/611 (63,199) t=814s
shard 15: 611/611 (161,200) t=823s
shard 15 done, t=823s
