shard 4: 1/612 (3,4) t=0s
shard 4: 11/612 (11,26) t=2s
shard 4: 21/612 (10,37) t=6s
shard 4: 31/612 (2,45) t=10s
shard 4: 41/612 (50,51) t=15s
shard 4: 51/612 (11,58) t=21s
shard 4: 61/612 (23,63) t=28s
shard 4: 71/612 (25,68) t=39s
shard 4: 81/612 (18,73) t=51s
shard 4: 91/612 (43,77) t=67s
shard 4: 101/612 (59,81) t=71s
shard 4: 111/612 (53,85) t=75s
shard 4: 121/612 (38,89) t=79s
shard 4: 131/612 (14,93) t=84s
shard 4: 141/612 (95,96) t=91s
shard 4: 151/612 (3,100) t=96s
shard 4: 161/612 (30,103) t=101s
shard 4: 171/612 (65,106) t=107s
shard 4: 181/612 (38,109) t=111s
shard 4: 191/612 (41,112) t=123s
shard 4: 201/612 (28,115) t=129s
shard 4: 211/612 (11,118) t=136s
shard 4: 221/612 (21,121) t=144s
shard 4: 231/612 (76,123) t=151s
shard 4: 241/612 (31,126) t=156s
shard 4: 251/612 (95,128) t=161s
shard 4: 261/612 (52,131) t=169s
shard 4: 271/612 (101,133) t=181s
shard 4: 281/612 (75,136) t=188s
shard 4: 291/612 (109,138) t=198s
shard 4: 301/612 (8,141) t=212s
shard 4: 311/612 (51,143) t=221s
shard 4: 321/612 (98,145) t=245s
shard 4: 331/612 (15,148) t=256s
shard 4: 341/612 (136,149) t=288s
shard 4: 351/612 (148,151) t=311s
shard 4: 361/612 (75,154) t=342s
shard 4: 371/612 (2,157) t=376s
shard 4: 381/612 (93,158) t=392s
shard 4: 391/612 (159,160) t=412s
shard 4: 401/612 (14,163) t=440s
shard 4: 411/612 (105,164) t=464s
shard 4: 421/612 (10,167) t=491s
shard 4: 431/612 (151,168) t=514s
shard 4: 441/612 (103,170) t=534s
shard 4: 451/612 (139,172) t=577s
shard 4: 461/612 (37,174) t=601s
shard 4: 471/612 (79,176) t=624s
shard 4: 481/612 (79,178) t=666s
shard 4: 491/612 (152,179) t=676s
shard 4: 501/612 (126,181) t=683s
shard 4: 511/612 (112,183) t=692s
shard 4: 521/612 (84,185) t=701s
shard 4: 531/612 (72,187) t=712s
shard 4: 541/612 (17,189) t=730s
shard 4: 551/612 (30,191) t=736s
shard 4: 561/612 (119,192) t=742s
shard 4: 571/612 (176,193) t=751s
shard 4: 581/612 (178,195) t=762s
shard 4: 591/612 (108,197) t=771s
shard 4: 601/612 (52,199) t=783s
shard 4: 611/612 (133,200) t=793s
shard 4 done, t=794s
