shard 9: 1/612 (1,6) t=0s
shard 9: 11/612 (23,26) t=2s
shard 9: 21/612 (15,37) t=4s
shard 9: 31/612 (13,45) t=6s
shard 9: 41/612 (9,52) t=9s
shard 9: 51/612 (21,58) t=13s
shard 9: 61/612 (32,63) t=19s
shard 9: 71/612 (35,68) t=25s
shard 9: 81/612 (23,73) t=32s
shard 9: 91/612 (50,77) t=35s
shard 9: 101/612 (67,81) t=41s
shard 9: 111/612 (59,85) t=50s
shard 9: 121/612 (43,89) t=63s
shard 9: 131/612 (22,93) t=74s
shard 9: 141/612 (5,97) t=85s
shard 9: 151/612 (17,100) t=95s
shard 9: 161/612 (35,103) t=106s
shard 9: 171/612 (75,106) t=120s
shard 9: 181/612 (43,109) t=132s
shard 9: 191/612 (53,112) t=148s
shard 9: 201/612 (34,115) t=161s
shard 9: 211/612 (21,118) t=177s
shard 9: 221/612 (27,121) t=198s
shard 9: 231/612 (85,123) t=210s
shard 9: 241/612 (53,126) t=231s
shard 9: 251/612 (105,128) t=239s
shard 9: 261/612 (57,131) t=263s
shard 9: 271/612 (107,133) t=281s
shard 9: 281/612 (87,136) t=291s
shard 9: 291/612 (127,138) t=317s
shard 9: 301/612 (16,141) t=344s
shard 9: 311/612 (58,143) t=378s
shard 9: 321/612 (104,145) t=404s
shard 9: 331/612 (25,148) t=434s
shard 9: 341/612 (141,149) t=451s
shard 9: 351/612 (5,152) t=472s
shard 9: 361/612 (87,154) t=514s
shard 9: 371/612 (7,157) t=540s
shard 9: 381/612 (103,158) t=559s
shard 9: 391/612 (5,161) t=588s
shard 9: 401/612 (19,163) t=618s
shard 9: 411/612 (115,164) t=640s
shard 9: 421/612 (15,167) t=674s
shard 9: 431/612 (1,169) t=694s
shard 9: 441/612 (117,170) t=717s
shard 9: 451/612 (149,172) t=748s
shard 9: 461/612 (53,174) t=763s
shard 9: 471/612 (89,176) t=784s
shard 9: 481/612 (91,178) t=807s
shard 9: 491/612 (157,179) t=817s
shard 9: 501/612 (131,181) t=837s
shard 9: 511/612 (119,183) t=849s
shard 9: 521/612 (91,185) t=863s
shard 9: 531/612 (78,187) t=877s
shard 9: 541/612 (25,189) t=891s
shard 9: 551/612 (35,191) t=900s
shard 9: 561/612 (133,192) t=910s
shard 9: 571/612 (181,193) t=915s
shard 9: 581/612 (188,195) t=924s
shard 9: 591/612 (113,197) t=930s
shard 9: 601/612 (57,199) t=938s
shard 9: 611/612 (147,200) t=946s
shard 9 done, t=947s
