наклон 329/449: клетки [449, -449, 329, -329, 120, -120, 778, -778]; вырожденные рациональные z на X_k: [0]
множителей 126 (из 126), время 4.7 с; ранги: 11×0 58×1 49×2 8×3; недоказанных 13; насыщение индексы>1: 0
используем: -778,-449,329 (r=1, T=[4, 2]); -778,-449,778 (r=1, T=[2, 2]); -778,-329,120 (r=1, T=[2, 2]); -778,-329,329 (r=1, T=[2, 2]); -778,-329,449 (r=1, T=[4, 2]); -778,-329,778 (r=1, T=[2, 2]); -778,-120,120 (r=1, T=[2, 2]); -778,-120,329 (r=1, T=[2, 2]); -778,-120,778 (r=1, T=[2, 2]); -778,120,449 (r=1, T=[2, 2]); -778,120,778 (r=1, T=[2, 2]); -778,329,778 (r=1, T=[2, 2]); -778,449,778 (r=1, T=[2, 2]); -449,-329,-120 (r=1, T=[4, 2]); -449,-329,449 (r=1, T=[2, 2]); -449,-120,120 (r=1, T=[2, 2])
  ('lift', '-778,-329,778', 3): выживших 256 (N=[24, 12, 12, 12, 24, 12, 4, 4, 4, 4, 4, 4, 4, 8, 4, 4])
  ('lift', '-778,-120,120', 3): выживших 256 (N=[24, 12, 12, 12, 24, 12, 12, 4, 4, 4, 4, 4, 4, 8, 4, 4])
  ('lift', '-778,-120,329', 3): выживших 256 (N=[24, 12, 12, 12, 24, 12, 12, 12, 4, 4, 4, 4, 4, 8, 4, 4])
  ('lift', '-778,-120,778', 3): выживших 256 (N=[24, 12, 12, 12, 24, 12, 12, 12, 12, 4, 4, 4, 4, 8, 4, 4])
  ('lift', '-778,120,449', 3): выживших 256 (N=[24, 12, 12, 12, 24, 12, 12, 12, 12, 12, 4, 4, 4, 8, 4, 4])
  ('lift', '-778,120,778', 3): выживших 256 (N=[24, 12, 12, 12, 24, 12, 12, 12, 12, 12, 12, 4, 4, 8, 4, 4])
  ('lift', '-778,329,778', 3): выживших 256 (N=[24, 12, 12, 12, 24, 12, 12, 12, 12, 12, 12, 12, 4, 8, 4, 4])
  ('lift', '-778,449,778', 3): выживших 256 (N=[24, 12, 12, 12, 24, 12, 12, 12, 12, 12, 12, 12, 12, 8, 4, 4])
  ('lift', '-449,-329,-120', 3): выживших 256 (N=[24, 12, 12, 12, 24, 12, 12, 12, 12, 12, 12, 12, 12, 24, 4, 4])
  ('lift', '-449,-329,449', 3): выживших 256 (N=[24, 12, 12, 12, 24, 12, 12, 12, 12, 12, 12, 12, 12, 24, 12, 4])
  ('lift', '-449,-120,120', 3): выживших 256 (N=[24, 12, 12, 12, 24, 12, 12, 12, 12, 12, 12, 12, 12, 24, 12, 12])
  ('lift', '-778,-449,329', 2): выживших 256 (N=[48, 12, 12, 12, 24, 12, 12, 12, 12, 12, 12, 12, 12, 24, 12, 12])
  ('lift', '-778,-449,778', 2): выживших 256 (N=[48, 24, 12, 12, 24, 12, 12, 12, 12, 12, 12, 12, 12, 24, 12, 12])
  ('lift', '-778,-329,120', 2): выживших 256 (N=[48, 24, 24, 12, 24, 12, 12, 12, 12, 12, 12, 12, 12, 24, 12, 12])
  ('lift', '-778,-329,329', 2): выживших 256 (N=[48, 24, 24, 24, 24, 12, 12, 12, 12, 12, 12, 12, 12, 24, 12, 12])
  ('lift', '-778,-329,449', 2): выживших 256 (N=[48, 24, 24, 24, 48, 12, 12, 12, 12, 12, 12, 12, 12, 24, 12, 12])
  ('lift', '-778,-329,778', 2): выживших 256 (N=[48, 24, 24, 24, 48, 24, 12, 12, 12, 12, 12, 12, 12, 24, 12, 12])
  ('lift', '-778,-120,120', 2): выживших 256 (N=[48, 24, 24, 24, 48, 24, 24, 12, 12, 12, 12, 12, 12, 24, 12, 12])
  ('lift', '-778,-120,329', 2): выживших 256 (N=[48, 24, 24, 24, 48, 24, 24, 24, 12, 12, 12, 12, 12, 24, 12, 12])
  ('lift', '-778,-120,778', 2): выживших 256 (N=[48, 24, 24, 24, 48, 24, 24, 24, 24, 12, 12, 12, 12, 24, 12, 12])
  ('lift', '-778,120,449', 2): выживших 256 (N=[48, 24, 24, 24, 48, 24, 24, 24, 24, 24, 12, 12, 12, 24, 12, 12])
  ('lift', '-778,120,778', 2): выживших 256 (N=[48, 24, 24, 24, 48, 24, 24, 24, 24, 24, 24, 12, 12, 24, 12, 12])
  ('lift', '-778,329,778', 2): выживших 256 (N=[48, 24, 24, 24, 48, 24, 24, 24, 24, 24, 24, 24, 12, 24, 12, 12])
  ('lift', '-778,449,778', 2): выживших 256 (N=[48, 24, 24, 24, 48, 24, 24, 24, 24, 24, 24, 24, 24, 24, 12, 12])
  ('lift', '-449,-329,-120', 2): выживших 256 (N=[48, 24, 24, 24, 48, 24, 24, 24, 24, 24, 24, 24, 24, 48, 12, 12])
  ('lift', '-449,-329,449', 2): выживших 256 (N=[48, 24, 24, 24, 48, 24, 24, 24, 24, 24, 24, 24, 24, 48, 24, 12])
  ('lift', '-449,-120,120', 2): выживших 256 (N=[48, 24, 24, 24, 48, 24, 24, 24, 24, 24, 24, 24, 24, 48, 24, 24])
  ('lift', '-778,-449,329', 2): выживших 256 (N=[96, 24, 24, 24, 48, 24, 24, 24, 24, 24, 24, 24, 24, 48, 24, 24])
  ('lift', '-778,-449,778', 2): выживших 256 (N=[96, 48, 24, 24, 48, 24, 24, 24, 24, 24, 24, 24, 24, 48, 24, 24])
  ('lift', '-778,-329,120', 2): выживших 256 (N=[96, 48, 48, 24, 48, 24, 24, 24, 24, 24, 24, 24, 24, 48, 24, 24])
  ('lift', '-778,-329,329', 2): выживших 256 (N=[96, 48, 48, 48, 48, 24, 24, 24, 24, 24, 24, 24, 24, 48, 24, 24])
  ('lift', '-778,-329,449', 2): выживших 256 (N=[96, 48, 48, 48, 96, 24, 24, 24, 24, 24, 24, 24, 24, 48, 24, 24])
  ('lift', '-778,-329,778', 2): выживших 256 (N=[96, 48, 48, 48, 96, 48, 24, 24, 24, 24, 24, 24, 24, 48, 24, 24])
  ('lift', '-778,-120,120', 2): выживших 256 (N=[96, 48, 48, 48, 96, 48, 48, 24, 24, 24, 24, 24, 24, 48, 24, 24])
  ('lift', '-778,-120,329', 2): выживших 256 (N=[96, 48, 48, 48, 96, 48, 48, 48, 24, 24, 24, 24, 24, 48, 24, 24])
  ('lift', '-778,-120,778', 2): выживших 256 (N=[96, 48, 48, 48, 96, 48, 48, 48, 48, 24, 24, 24, 24, 48, 24, 24])
  ('lift', '-778,120,449', 2): выживших 256 (N=[96, 48, 48, 48, 96, 48, 48, 48, 48, 48, 24, 24, 24, 48, 24, 24])
  ('lift', '-778,120,778', 2): выживших 256 (N=[96, 48, 48, 48, 96, 48, 48, 48, 48, 48, 48, 24, 24, 48, 24, 24])
  ('lift', '-778,329,778', 2): выживших 256 (N=[96, 48, 48, 48, 96, 48, 48, 48, 48, 48, 48, 48, 24, 48, 24, 24])
  ('lift', '-778,449,778', 2): выживших 256 (N=[96, 48, 48, 48, 96, 48, 48, 48, 48, 48, 48, 48, 48, 48, 24, 24])
  ('lift', '-449,-329,-120', 2): выживших 256 (N=[96, 48, 48, 48, 96, 48, 48, 48, 48, 48, 48, 48, 48, 96, 24, 24])
  ('lift', '-449,-329,449', 2): выживших 256 (N=[96, 48, 48, 48, 96, 48, 48, 48, 48, 48, 48, 48, 48, 96, 48, 24])
  ('lift', '-449,-120,120', 2): выживших 256 (N=[96, 48, 48, 48, 96, 48, 48, 48, 48, 48, 48, 48, 48, 96, 48, 48])
  ('lift', '-778,-449,329', 5): выживших 256 (N=[480, 48, 48, 48, 96, 48, 48, 48, 48, 48, 48, 48, 48, 96, 48, 48])
  ('lift', '-778,-449,778', 5): выживших 256 (N=[480, 240, 48, 48, 96, 48, 48, 48, 48, 48, 48, 48, 48, 96, 48, 48])
  ('lift', '-778,-329,120', 5): выживших 256 (N=[480, 240, 240, 48, 96, 48, 48, 48, 48, 48, 48, 48, 48, 96, 48, 48])
  ('lift', '-778,-329,329', 5): выживших 256 (N=[480, 240, 240, 240, 96, 48, 48, 48, 48, 48, 48, 48, 48, 96, 48, 48])
  ('lift', '-778,-329,449', 5): выживших 256 (N=[480, 240, 240, 240, 480, 48, 48, 48, 48, 48, 48, 48, 48, 96, 48, 48])
  ('lift', '-778,-329,778', 5): выживших 256 (N=[480, 240, 240, 240, 480, 240, 48, 48, 48, 48, 48, 48, 48, 96, 48, 48])
  ('lift', '-778,-120,120', 5): выживших 256 (N=[480, 240, 240, 240, 480, 240, 240, 48, 48, 48, 48, 48, 48, 96, 48, 48])
  ('lift', '-778,-120,329', 5): выживших 256 (N=[480, 240, 240, 240, 480, 240, 240, 240, 48, 48, 48, 48, 48, 96, 48, 48])
  ('lift', '-778,-120,778', 5): выживших 256 (N=[480, 240, 240, 240, 480, 240, 240, 240, 240, 48, 48, 48, 48, 96, 48, 48])
  ('lift', '-778,120,449', 5): выживших 256 (N=[480, 240, 240, 240, 480, 240, 240, 240, 240, 240, 48, 48, 48, 96, 48, 48])
  ('lift', '-778,120,778', 5): выживших 256 (N=[480, 240, 240, 240, 480, 240, 240, 240, 240, 240, 240, 48, 48, 96, 48, 48])
  ('lift', '-778,329,778', 5): выживших 256 (N=[480, 240, 240, 240, 480, 240, 240, 240, 240, 240, 240, 240, 48, 96, 48, 48])
  ('lift', '-778,449,778', 5): выживших 256 (N=[480, 240, 240, 240, 480, 240, 240, 240, 240, 240, 240, 240, 240, 96, 48, 48])
  ('lift', '-449,-329,-120', 5): выживших 256 (N=[480, 240, 240, 240, 480, 240, 240, 240, 240, 240, 240, 240, 240, 480, 48, 48])
  ('lift', '-449,-329,449', 5): выживших 256 (N=[480, 240, 240, 240, 480, 240, 240, 240, 240, 240, 240, 240, 240, 480, 240, 48])
  ('lift', '-449,-120,120', 5): выживших 256 (N=[480, 240, 240, 240, 480, 240, 240, 240, 240, 240, 240, 240, 240, 480, 240, 240])
ИТОГ 329/449: выживших классов 256, классов вырожденных точек 256, потеряно известных 0, НЕВЫРОЖДЕННЫХ выживших 0; N=[480, 240, 240, 240, 480, 240, 240, 240, 240, 240, 240, 240, 240, 480, 240, 240]; простых 156 (≤1000); время 282.0 с
