наклон 126/451: клетки [451, -451, 126, -126, 325, -325, 577, -577]; вырожденные рациональные z на X_k: [0]
множителей 126 (из 126), время 6.2 с; ранги: 36×1 68×2 18×3 4×4; недоказанных 0; насыщение индексы>1: 8
используем: -577,-451,-126 (r=1, T=[4, 2]); -577,-451,126 (r=1, T=[4, 2]); -577,-325,-126 (r=1, T=[2, 2]); -577,-126,451 (r=1, T=[4, 2]); -577,-126,577 (r=1, T=[2, 2]); -577,126,325 (r=1, T=[2, 2]); -577,126,451 (r=1, T=[2, 2]); -577,126,577 (r=1, T=[2, 2]); -451,-325,-126 (r=1, T=[4, 2]); -451,-325,126 (r=1, T=[4, 2]); -451,-126,325 (r=1, T=[4, 2]); -451,-126,577 (r=1, T=[2, 2]); -451,126,325 (r=1, T=[2, 2]); -451,126,577 (r=1, T=[4, 2]); -325,-126,451 (r=1, T=[2, 2]); -325,-126,577 (r=1, T=[2, 2])
  ('lift', '-577,126,325', 5): выживших 128 (N=[480, 480, 240, 480, 240, 240, 48, 48, 96, 96, 96, 48, 48, 96, 48, 48])
  ('lift', '-577,126,451', 5): выживших 128 (N=[480, 480, 240, 480, 240, 240, 240, 48, 96, 96, 96, 48, 48, 96, 48, 48])
  ('lift', '-577,126,577', 5): выживших 128 (N=[480, 480, 240, 480, 240, 240, 240, 240, 96, 96, 96, 48, 48, 96, 48, 48])
  ('lift', '-451,-325,-126', 5): выживших 128 (N=[480, 480, 240, 480, 240, 240, 240, 240, 480, 96, 96, 48, 48, 96, 48, 48])
  ('lift', '-451,-325,126', 5): выживших 128 (N=[480, 480, 240, 480, 240, 240, 240, 240, 480, 480, 96, 48, 48, 96, 48, 48])
  ('lift', '-451,-126,325', 5): выживших 128 (N=[480, 480, 240, 480, 240, 240, 240, 240, 480, 480, 480, 48, 48, 96, 48, 48])
  ('lift', '-451,-126,577', 5): выживших 128 (N=[480, 480, 240, 480, 240, 240, 240, 240, 480, 480, 480, 240, 48, 96, 48, 48])
  ('lift', '-451,126,325', 5): выживших 128 (N=[480, 480, 240, 480, 240, 240, 240, 240, 480, 480, 480, 240, 240, 96, 48, 48])
  ('lift', '-451,126,577', 5): выживших 128 (N=[480, 480, 240, 480, 240, 240, 240, 240, 480, 480, 480, 240, 240, 480, 48, 48])
  ('lift', '-325,-126,451', 5): выживших 128 (N=[480, 480, 240, 480, 240, 240, 240, 240, 480, 480, 480, 240, 240, 480, 240, 48])
  ('lift', '-325,-126,577', 5): выживших 128 (N=[480, 480, 240, 480, 240, 240, 240, 240, 480, 480, 480, 240, 240, 480, 240, 240])
ИТОГ 126/451: выживших классов 128, классов вырожденных точек 128, потеряно известных 0, НЕВЫРОЖДЕННЫХ выживших 0; N=[480, 480, 240, 480, 240, 240, 240, 240, 480, 480, 480, 240, 240, 480, 240, 240]; простых 155 (≤1000); время 237.6 с
