3 A: {'generic': (0, 0, 0), 'b': (0, 0, 0), 'c': (0, 0, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (0, 0, 0), 'c': (0, 0, 0), 'bc': (25, 25, 25), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 12s
5 A: {'generic': (0, 0, 0), 'b': (0, 0, 0), 'c': (0, 0, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (0, 0, 0), 'c': (0, 0, 0), 'bc': (25, 25, 24), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 51s
7 A: {'generic': (0, 0, 0), 'b': (0, 0, 0), 'c': (0, 0, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (0, 0, 0), 'c': (0, 0, 0), 'bc': (25, 25, 22), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 107s
11 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 25), 'c': (25, 25, 24), 'bc': (25, 25, 25), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 157s
13 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 24), 'c': (25, 25, 23), 'bc': (25, 25, 25), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 218s
17 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 22), 'c': (25, 25, 25), 'bc': (25, 25, 18), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 280s
19 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 25), 'c': (25, 25, 25), 'bc': (25, 25, 24), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 358s
23 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 23), 'c': (25, 25, 25), 'bc': (25, 25, 25), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 437s
29 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 24), 'c': (25, 25, 24), 'bc': (25, 25, 25), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 533s
31 A: {'generic': (0, 0, 0), 'b': (30, 690, 0), 'c': (30, 690, 0), 'bc': (30, 240, 0), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0), 'b+2c': (0, 0, 0), 'b-2c': (0, 0, 0), '2b+c': (0, 0, 0), '2b-c': (0, 0, 0)} B: {'b': (25, 25, 23), 'c': (25, 25, 24), 'bc': (25, 25, 24), 'b+c': (0, 0, 0), 'b-c': (0, 0, 0)} 625s
