skip (1, -3, 5, 0, 1, 0)
skip (1, 1, 5, 1, 2, 0)
skip (-2, -4, 3, 1, 2, 0)
skip (3, 1, -3, 1, 2, 0)
skip (-5, 5, 2, 1, 2, 0)
skip (2, -7, 13, 0, 1, 0)
skip (5, 5, 6, 1, 2, 0)
skip (7, 5, 17, 2, 3, 0)
skip (-3, -11, 2, 1, 2, 0)
skip (6, 7, -1, 1, 2, 0)
skip (9, 2, 3, 2, 3, 0)
skip (-4, 2, 6, 1, 2, 0)
skip (1, -3, -1, 1, 2, 0)
skip (1, -3, 2, 1, 2, 0)
skip (2, 18, -3, 1, 2, 0)
skip (21, -10, 11, 0, 1, 0)
